                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4767,                 3.5354,                 1.3275,                0.90444,                0.07111,                0.20485,                0.08418,                 1.9802,                 7.4039,                 1.0831,             0.00026995,             0.00026995,             0.00026995
                      1,                 1.2611,                 2.5556,                 1.1662,                0.75663,                0.16808,                 0.1843,                 0.0997,                 2.1024,                 6.3742,                  1.061,             0.00036691,             0.00036691,             0.00036691
                      2,                 1.2115,                 2.2316,                 1.1255,                0.60912,                0.16808,                0.22322,                0.11851,                 2.2093,                 6.4458,                 1.1226,              0.0002806,              0.0002806,              0.0002806
                      0,                 1.4739,                 3.5325,                  1.324,                0.90331,                0.07111,                0.22444,                0.09464,                 1.9484,                 7.4289,                 1.0697,             0.00026995,             0.00026995,             0.00026995
                      1,                 1.2585,                 2.5562,                 1.1636,                0.75417,                0.16197,                0.22215,                0.11628,                  2.102,                 6.6676,                 1.0802,             0.00036691,             0.00036691,             0.00036691
                      2,                  1.221,                  2.229,                  1.122,                0.60873,                0.16808,                 0.2603,                0.13126,                 2.1433,                  6.475,                 1.1191,              0.0002806,              0.0002806,              0.0002806
                      0,                 1.4168,                 3.5043,                 1.2938,                0.02759,                0.53157,                0.20817,                0.09583,                 1.8232,                 7.3027,                0.98942,             0.00026995,             0.00026995,             0.00026995
                      1,                 1.1842,                 2.4283,                 1.1447,                0.90285,                0.07704,                0.23651,                0.11866,                 1.9026,                 6.8286,                 1.1096,             0.00049341,             0.00049341,             0.00049341
                      2,                 1.0628,                 2.0967,                 1.0838,                0.57621,                 0.1899,                0.21796,                0.10288,                 2.0997,                 6.7025,                 1.2449,             0.00066188,             0.00066188,             0.00066188
                      3,                 1.0288,                 1.9973,                 1.0615,                0.38844,                0.22707,                0.27076,                0.15392,                 2.1966,                 7.8653,                 1.2504,              0.0005856,              0.0005856,              0.0005856
                      4,                 1.0088,                 1.8594,                 1.0233,                0.37743,                0.23919,                0.20801,                0.09451,                 1.9922,                 7.8443,                 1.1711,              0.0005856,              0.0005856,              0.0005856
                      5,                 0.9534,                 1.7258,                0.99684,                 0.6077,                0.23919,                0.22263,                0.12048,                 2.1073,                 7.0357,                 1.1853,             0.00050313,             0.00050313,             0.00050313
                      6,                0.92018,                 1.6763,                0.95845,                0.41093,                0.23919,                0.27878,                0.17262,                 1.9062,                  6.484,                 1.0931,             0.00042066,             0.00042066,             0.00042066
                      7,                0.88042,                 1.6181,                0.94484,                  0.809,                0.23919,                0.26439,                0.14139,                 2.0215,                 6.6224,                 1.1734,              0.0003382,              0.0003382,              0.0003382
                      8,                0.86642,                 1.6134,                0.94191,                0.79836,                0.23919,                0.27749,                0.16383,                 2.0323,                 6.2933,                 1.1464,             0.00025573,             0.00025573,             0.00025573
                      9,                0.84959,                 1.6286,                0.93392,                 0.7922,                0.23919,                0.28002,                0.16849,                 2.0796,                 6.5317,                 1.1802,             0.00017326,             0.00017326,             0.00017326
